config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,error
FULL,42,True,True,1.0,0.0,1.0,4.883960604217191,0.34850267379679145,9.94455885887146,0.0972676941816761,0.7215909090909091,0.0,0.0,0.0,
FULL,43,True,False,,0.0,0.0,5.1122094521404815,0.3524242424242424,7.61766242980957,0.10045200434908798,0.7784090909090909,0.0,0.0,0.0,
NO_EVOLUTION,42,True,False,,181.9329268292683,0.0,3.4885498222292757,0.27850267379679144,292.3866238594055,0.1306418289102245,0.7556818181818182,1.0,0.125,147.0,
