map_id,ablation,persona,success,path_length,states_explored,confusion_index,navigation_entropy,cognitive_load,aha_latency,deliberation_events,budget_exhaustion_events,peak_frustration,affordance_reactivations,affordance_guided_steps,inventory_change_events,focus_switches,focus_guided_steps,oracle_status,oracle_success,confusion_ratio,solver_status,time_ms
D1_v1,full,balanced,0,10001,10000,113.954,1.0439,0.6672,0,4945,4223,1.4008,2,4986,1,1,4992,timeout,0,nan,timeout,19783.35
D1_v1,no_revisit,balanced,0,10001,10000,80.3089,1.3203,0.638,0,4948,4073,1.4008,2,4986,2,3,4991,timeout,0,nan,timeout,21728.247
D1_v1,no_uncertainty,balanced,0,10001,10000,102.1031,1.0529,0.6639,0,4932,4209,1.4008,2,4986,1,1,4992,timeout,0,nan,timeout,19520.125
D1_v1,no_deliberation,balanced,0,10001,10000,93.3491,1.0573,0.6625,0,0,0,1.4143,2,4986,1,1,4992,timeout,0,nan,timeout,15046.023
D1_v1,no_affordance,balanced,0,10001,10000,112.6477,1.0439,0.6672,0,4946,4223,1.4008,0,4986,1,1,4992,timeout,0,nan,timeout,19506.548
D1_v1,no_focus,balanced,0,10001,10000,45.9531,1.2808,0.4722,0,555,8,1.3362,2,4989,2,1,4995,timeout,0,nan,timeout,16162.407
D1_v2,full,balanced,0,10001,10000,43.6473,1.8868,1.096,0,4945,3898,1.6339,0,9853,6,244,4886,timeout,0,nan,timeout,20141.35
D1_v2,no_revisit,balanced,0,10001,10000,115.2907,1.3227,0.8129,0,4975,4466,1.4628,0,9941,3,409,4804,timeout,0,nan,timeout,18523.53
D1_v2,no_uncertainty,balanced,0,10001,10000,28.6766,1.9995,0.906,0,385,50,1.437,0,5286,9,23,4989,timeout,0,nan,timeout,18369.21
D1_v2,no_deliberation,balanced,0,10001,10000,106.5376,1.2656,0.8121,0,0,0,1.4576,0,9936,3,199,4909,timeout,0,nan,timeout,14356.717
