config,n,success_rate,solvability_rate,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid_rate,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,diversity
FULL,4,1.0,0.0,,0.0,0.0,13.670063808146276,0.20942179144385026,45.3368923664093,0.09569071648376495,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.6625,0.03125,0.5,0.0,0.5,0.10588042529706931
COND_WEAK_GRAPH,4,1.0,0.0,,0.0,0.0,13.670063808146276,0.20942179144385026,16.94095480442047,0.09569071648376495,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.6625,0.03125,0.5,0.0,0.5,0.10588042529706931
