config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,error
FULL,42,True,False,,0.0,0.0,4.680842693605947,0.21034090909090908,21.49854803085327,0.02818669512426208,0.09659090909090909,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,43,True,False,,0.0,0.0,4.661150009524718,0.20850267379679144,18.31667399406433,0.1560308445333468,0.11931818181818182,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,44,True,False,,0.0,0.0,4.877833509160301,0.21034090909090908,17.43657898902893,0.028938972824517812,0.03409090909090909,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
FULL,45,True,False,,0.0,0.0,4.651973787361847,0.20850267379679144,16.712858200073242,0.16960635345293312,0.2159090909090909,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,46,True,False,,0.0,0.0,4.972946299036512,0.20850267379679144,17.25598382949829,0.02824658322013872,0.03409090909090909,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,0.0,0.0,
FULL,47,True,False,,0.0,0.0,5.062511226297492,0.20850267379679144,17.207287073135376,0.05020928245345841,0.13068181818181818,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0625,1.0,0.0,1.0,
FULL,48,True,False,,0.0,0.0,5.1097678778325,0.20850267379679144,17.15105152130127,0.029331784064027682,0.06818181818181818,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,49,True,False,,0.0,0.0,5.0176343844012035,0.20850267379679144,17.839532136917114,0.04640930799637594,0.03409090909090909,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,50,True,False,,0.0,0.0,5.025925789528848,0.20850267379679144,17.443277835845947,0.06298327837440672,0.022727272727272728,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,51,True,False,,0.0,0.0,4.560435733968594,0.21034090909090908,17.78507113456726,0.034735329556496226,0.05113636363636364,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,52,True,False,,0.0,0.0,4.629357662260941,0.20850267379679144,17.193350791931152,0.024868282209987505,0.1534090909090909,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,53,True,False,,0.0,0.0,4.601561274392075,0.2124242424242424,15.655046224594116,0.028938972824517812,0.08522727272727272,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
