seed,arm,generation_time_sec,overall_completeness,constraint_valid,path_exists,linearity,leniency,progression_complexity,topology_complexity,cycle_density,shortcut_density,gate_depth_ratio,path_depth_ratio,directionality_gap,repair_rate,total_repairs,generation_constraint_rejections,candidate_repairs_applied,rule_applied,rule_skipped,descriptor_gap
42,CONTROL,7.303828716278076,1.0,1.0,1.0,0.5555555555555556,1.0,0.3367722222222222,0.2822777777777778,0.25,0.0,0.0,0.5,0.0,0.0,0.0,3.0,0.0,10.0,8.0,0.21153012635249982
42,TREATMENT,6.872642993927002,1.0,1.0,1.0,0.5555555555555556,1.0,0.3367722222222222,0.2822777777777778,0.25,0.0,0.0,0.5,0.0,0.0,0.0,3.0,0.0,10.0,8.0,0.21153012635249982
43,CONTROL,8.848829746246338,1.0,1.0,1.0,0.6666666666666666,0.75,0.5066329004329004,0.3778484848484849,0.3333333333333333,0.0,0.2857142857142857,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.1186714852981949
43,TREATMENT,6.163543462753296,1.0,1.0,1.0,0.6666666666666666,0.75,0.5066329004329004,0.3778484848484849,0.3333333333333333,0.0,0.2857142857142857,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.1186714852981949
44,CONTROL,5.403431177139282,1.0,1.0,1.0,0.5555555555555556,0.0,0.48673055555555556,0.3374166666666667,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.14736937622299973
44,TREATMENT,5.234288930892944,1.0,1.0,1.0,0.5555555555555556,0.0,0.48673055555555556,0.3374166666666667,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.14736937622299973
45,CONTROL,4.820699214935303,1.0,1.0,1.0,0.5,0.5,0.4746555555555556,0.2907777777777778,0.2,0.0,0.25,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0606204041302776
45,TREATMENT,4.369802951812744,1.0,1.0,1.0,0.5,0.5,0.4746555555555556,0.2907777777777778,0.2,0.0,0.25,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0606204041302776
