config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,error
FULL,1200,True,False,,0.0,0.0,13.727501186595513,0.20850267379679144,24.913966417312622,0.07540036679225298,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,1201,True,False,,0.0,0.0,13.582111728048627,0.2278409090909091,21.288572549819946,0.03756953188100013,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.06666666666666667,1.0,1.0,0.0,
FULL,1202,True,False,,0.0,0.0,13.333602475626847,0.24350267379679144,19.927611351013184,0.048286233166974286,0.0,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.14285714285714285,1.0,1.0,0.0,
FULL,1203,True,False,,0.0,0.0,13.492003324337338,0.20850267379679144,20.027752161026,0.030985485959333554,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,0.0,0.0,
FULL,1204,True,False,,0.0,0.0,13.685266075367304,0.2474242424242424,20.05143642425537,0.16340933082129205,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.14285714285714285,1.0,1.0,0.0,
FULL,1205,True,False,,0.0,0.0,13.436736072835105,0.22600267379679145,20.086049556732178,0.06533788166100385,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,0.0,0.0,
FULL,1206,True,False,,0.0,0.0,13.436736072835105,0.21034090909090908,20.52666997909546,0.049496131393920534,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,0.0,0.0,
FULL,1207,True,False,,0.0,0.0,13.436736072835105,0.20850267379679144,20.353843450546265,0.03622682998832805,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,0.0,0.0,
FULL,1208,True,False,,0.0,0.0,13.637384901536455,0.20850267379679144,20.135488033294678,0.035545066497101575,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,1.0,0.0,
FULL,1209,True,False,,0.0,0.0,13.685266075367304,0.20850267379679144,20.024892330169678,0.03895726299329218,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
