method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible_search,feasible_operational,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,key_gate_count,key_before_lock_rate,switch_gate_count,switch_before_gate_rate,battery_gate_count,battery_satisfaction_rate,path_length,num_nodes,num_edges,path_redundancy,articulation_count,articulation_ratio,branch_count,branch_utility_rate,secret_component_count,secret_content_discoverability_rate,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
MAP_ELITES,42,24,24,24.132506608963013,1024,992,0.2840061995890334,0.0,1.0,0.8493620265170421,1.0,1.0,0.22727272727272727,0.25,0.4804807525807526,0.3274452214452214,2.0,1.0,1.0,1.0,0.0,1.0,4.0,22.0,39.0,0.0,7.0,0.3181818181818182,1.0,1.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0739883094444741,0.08994708994708994
MAP_ELITES,43,29,29,22.700196981430054,1024,992,0.44908429525717,0.0,1.0,0.4993695234424272,1.0,1.0,0.42857142857142855,0.75,0.4964912483912485,0.3332072072072072,4.0,1.0,0.0,1.0,0.0,1.0,8.0,21.0,37.0,0.625,5.0,0.23809523809523808,2.0,1.0,0.0,1.0,1.0,26.0,0.0,0.0,0.07434739783463873,0.08635338345864661
MAP_ELITES,44,21,21,19.973125457763672,1024,992,0.13024439734231946,0.0,1.0,1.6294257078119414,1.0,1.0,0.44,0.4,0.49483612403100774,0.304031007751938,2.0,1.0,0.0,1.0,0.0,1.0,10.0,25.0,43.0,0.7,9.0,0.36,1.0,1.0,0.0,1.0,1.0,48.0,0.0,0.0,0.0381870368487836,0.09657692307692307
MAP_ELITES,45,26,26,22.163791179656982,1024,992,0.16161671005962513,0.0,1.0,1.4619541077008824,1.0,1.0,0.36363636363636365,0.6666666666666666,0.4852129414445205,0.32372727272727275,2.0,1.0,0.0,1.0,0.0,1.0,7.0,22.0,38.0,0.5714285714285714,7.0,0.3181818181818182,1.0,1.0,0.0,1.0,1.0,54.0,0.0,0.0,0.05654234470313986,0.09545454545454546
MAP_ELITES,46,21,21,20.113167762756348,1024,992,0.4276882787667193,0.0,1.0,0.5750644732127307,1.0,1.0,0.391304347826087,0.3333333333333333,0.48166501976284587,0.29028359683794464,2.0,1.0,1.0,1.0,0.0,1.0,8.0,23.0,40.0,0.125,11.0,0.4782608695652174,3.0,0.6666666666666666,0.0,1.0,1.0,35.0,0.0,0.0,0.07176863222331686,0.10019553715205888
MAP_ELITES,47,26,26,21.953472137451172,1024,992,0.30560976453452826,0.0,1.0,0.7720209707961614,1.0,1.0,0.48148148148148145,1.0,0.49768205128205134,0.28244444444444444,6.0,1.0,0.0,1.0,0.0,1.0,12.0,27.0,45.0,0.25,12.0,0.4444444444444444,2.0,1.0,1.0,1.0,1.0,35.0,0.0,0.0,0.07163286204336013,0.08541666666666665
MAP_ELITES,48,33,33,23.283376216888428,1024,992,0.34340581075982757,0.0,1.0,0.6188167818499769,1.0,1.0,0.5909090909090909,0.25,0.5197989747095011,0.3158755980861244,2.0,1.0,0.0,1.0,0.0,1.0,12.0,22.0,38.0,0.5,7.0,0.3181818181818182,2.0,1.0,0.0,1.0,1.0,41.0,0.0,0.0,0.07806794252395358,0.09545454545454546
MAP_ELITES,49,24,24,23.618425130844116,1024,992,0.3070237371065882,0.0,1.0,0.7403682032615921,1.0,1.0,0.2222222222222222,0.5,0.479625420082563,0.3581768707482994,2.0,1.0,1.0,1.0,0.0,1.0,5.0,27.0,49.0,0.0,12.0,0.4444444444444444,4.0,1.0,1.0,1.0,1.0,31.0,0.0,0.0,0.054349921805322256,0.05987903225806451
MAP_ELITES,50,19,19,18.004719495773315,1024,992,0.4375406905747676,0.0,1.0,0.6071709749199523,1.0,1.0,0.35,0.4,0.4959680598555211,0.29329411764705887,2.0,1.0,1.0,1.0,0.0,1.0,6.0,20.0,34.0,0.3333333333333333,9.0,0.45,2.0,0.5,0.0,1.0,1.0,28.0,0.0,0.0,0.05882213057589096,0.061739130434782616
MAP_ELITES,51,32,32,22.10952353477478,1024,992,0.24830968379619134,0.0,1.0,1.36843337185325,1.0,1.0,0.4444444444444444,0.6666666666666666,0.4802440774010755,0.2489961685823755,2.0,1.0,0.0,1.0,0.0,1.0,7.0,18.0,29.0,0.14285714285714285,12.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,34.0,0.0,0.0,0.05277172847247413,0.07147058823529412
