config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,raw_topology_preservation_score,raw_directed_directionality_leak_rate,raw_topology_failed,raw_topology_error_count,raw_topology_error,error
FULL,42,True,False,,383.6185897435897,0.0,1.3860398907839706,0.15017942583732058,268.32284355163574,0.0915021032299129,0.21022727272727273,1.0,0.9,72.0,0.5,0.0,0.0,0.325,0.2,0.0,0.0,0.0,0.325,0.0,False,0,,
FULL,43,True,True,,1713.3,0.0,0.9667267635242006,0.08653846153846154,229.8428852558136,0.03885183970298773,0.20454545454545456,1.0,1.0,147.0,0.5714285714285714,0.375,1.0,0.42589285714285713,0.25,0.4,0.0,0.4,0.42589285714285713,0.0,False,0,,
FULL,44,True,False,,1199.01,0.0,1.4181303855480156,0.08007246376811594,274.99062275886536,0.06175763221768908,0.13068181818181818,1.0,0.9333333333333333,96.0,0.3333333333333333,0.2,0.0,0.33999999999999997,0.08,0.0,0.0,0.0,0.33999999999999997,0.0,False,0,,
FULL,45,True,False,,0.2934131736526946,0.0,1.1563656574025238,0.08106060606060606,67.97654891014099,0.007793315205088358,0.26136363636363635,1.0,1.0,84.0,0.4666666666666667,0.14285714285714285,0.2857142857142857,0.34571428571428575,0.12,0.0,0.0,0.0,0.34571428571428575,0.0,False,0,,
FULL,46,True,False,,763.3375796178344,0.0,1.1433135222150184,0.09249999999999999,254.4142677783966,0.048795454353926765,0.21022727272727273,1.0,0.9375,163.0,0.375,0.0,0.2857142857142857,0.24017857142857146,0.07692307692307693,0.0,0.0,0.0,0.24017857142857146,0.0,False,0,,
FULL,47,True,False,,1518.0,0.0,1.15815339829205,0.06789215686274509,269.38554644584656,0.029877682673843033,0.14204545454545456,1.0,0.9411764705882353,184.0,0.6666666666666666,0.25,0.0,0.5125,0.13333333333333333,0.0,0.0,0.0,0.5125,0.0,False,0,,
FULL,48,True,False,,974.6178861788618,0.0,1.1391680567780784,0.11926573426573427,248.36331939697266,0.09703283896479536,0.2784090909090909,1.0,1.0,188.0,0.5384615384615384,0.0,0.25,0.3173076923076923,0.2222222222222222,0.0,0.0,0.0,0.3173076923076923,0.0,False,0,,
FULL,49,True,False,,331.41274238227146,0.0,1.1936904165881985,0.08007246376811594,285.91493916511536,0.042691049661961786,0.13636363636363635,1.0,0.9333333333333333,108.0,0.3333333333333333,0.0,0.25,0.225,0.08,0.0,0.0,0.0,0.225,0.0,False,0,,
FULL,50,True,False,,673.1629213483146,0.0,1.3408003962994464,0.05969498910675381,270.4721260070801,0.07277569893861856,0.13636363636363635,1.0,1.0,145.0,0.3888888888888889,0.2857142857142857,0.125,0.3910714285714286,0.06666666666666667,0.5,1.0,0.0,0.3910714285714286,1.0,False,0,,
FULL,51,True,False,,1289.3333333333333,0.0,1.2295632513040662,0.13214285714285715,246.9364869594574,0.018203956721400395,0.26704545454545453,1.0,0.9285714285714286,92.0,0.42857142857142855,0.16666666666666666,0.0,0.3678571428571429,0.08695652173913043,0.0,0.0,0.0,0.3678571428571429,0.0,False,0,,
FULL,52,True,False,,2104.280701754386,0.0,1.112891679752453,0.1275,246.30740451812744,0.12660533547358943,0.23295454545454544,1.0,0.9375,112.0,0.5333333333333333,0.25,0.5,0.40249999999999997,0.13043478260869565,0.0,0.0,0.0,0.40249999999999997,0.0,False,0,,
FULL,53,True,False,,1262.1684210526316,0.0,1.227213603148475,0.0831153846153846,218.9632670879364,0.04530712518966109,0.2784090909090909,1.0,1.0,458.0,0.34615384615384615,0.3333333333333333,0.6111111111111112,0.34465811965811965,0.044444444444444446,0.0,0.0,0.0,0.34465811965811965,0.0,False,0,,
FULL,54,True,False,,630.5842105263158,0.0,1.0348907433474706,0.10201465201465201,227.33566641807556,0.08719200884015153,0.17613636363636365,1.0,1.0,77.0,0.6923076923076923,0.1111111111111111,1.0,0.36153846153846153,0.19047619047619047,0.0,0.0,0.0,0.36153846153846153,0.0,False,0,,
FULL,55,True,False,,1518.0,0.0,1.4874599582281183,0.03910675381263616,267.23702120780945,0.03760431314176449,0.08522727272727272,1.0,1.0,156.0,0.42105263157894735,0.375,0.2857142857142857,0.42965225563909776,0.0625,0.5,1.0,0.0,0.42965225563909776,1.0,False,0,,
FULL,56,True,False,,1599.0133333333333,0.0,1.1972242150551085,0.1028921568627451,195.27385759353638,0.054243974851827526,0.17613636363636365,1.0,0.9411764705882353,107.0,0.47058823529411764,0.125,0.0,0.36801470588235297,0.14814814814814814,0.25,1.0,0.0,0.36801470588235297,1.0,False,0,,
FULL,57,True,False,,1599.0133333333333,0.0,0.9541659396364564,0.11083333333333333,190.5192368030548,0.03683212135462892,0.21022727272727273,1.0,1.0,131.0,0.4166666666666667,0.2,0.0,0.37750000000000006,0.23529411764705882,0.0,0.0,0.0,0.37750000000000006,0.0,False,0,,
FULL,58,True,False,,554.5601851851852,0.0,1.3988921214326973,0.11455882352941175,246.91656517982483,0.10596185345158551,0.23863636363636365,1.0,0.9411764705882353,131.0,0.35294117647058826,0.0,0.0,0.25882352941176473,0.11538461538461539,0.0,0.0,0.0,0.25882352941176473,0.0,False,0,,
FULL,59,True,False,,503.20588235294116,0.0,1.249027591707843,0.06117647058823529,253.18862867355347,0.08493185324155388,0.21022727272727273,1.0,1.0,219.0,0.6111111111111112,0.45454545454545453,0.125,0.5670454545454545,0.06666666666666667,0.5,1.0,0.0,0.5670454545454545,1.0,False,0,,
FULL,60,True,False,,1410.7764705882353,0.0,1.2521521044272843,0.115,217.33152389526367,0.054198128204808356,0.1590909090909091,1.0,1.0,129.0,0.5625,0.3333333333333333,0.0,0.5031249999999999,0.20833333333333334,0.2,1.0,0.0,0.5031249999999999,1.0,False,0,,
FULL,61,True,False,,268.66516853932586,0.0,1.2157068487713174,0.0918956043956044,268.9341130256653,0.06540327900572065,0.26136363636363635,1.0,1.0,435.0,0.56,0.21428571428571427,0.1111111111111111,0.4373174603174604,0.14634146341463414,0.16666666666666666,1.0,0.0,0.4373174603174604,1.0,False,0,,
FULL,62,True,False,,490.80737704918033,0.0,1.37754945469655,0.07583333333333332,255.52479934692383,0.09978247649794238,0.09659090909090909,1.0,1.0,138.0,0.5833333333333334,0.0,0.0,0.36250000000000004,0.15789473684210525,0.0,0.0,0.0,0.36250000000000004,0.0,False,0,,
FULL,63,True,False,,384.85530546623795,0.0,0.9963515075786965,0.0788157894736842,233.97211527824402,0.1105911412078401,0.13636363636363635,1.0,1.0,97.0,0.25,0.0,0.4,0.1725,0.17647058823529413,0.0,0.0,0.0,0.1725,0.0,False,0,,
FULL,64,True,False,,381.1687898089172,0.0,1.4174801747855905,0.10205882352941177,246.53806138038635,0.08665114350552484,0.17613636363636365,1.0,0.9411764705882353,127.0,0.4117647058823529,0.14285714285714285,0.125,0.33707983193277313,0.1111111111111111,0.0,0.0,0.0,0.33707983193277313,0.0,False,0,,
FULL,65,True,False,,922.0846153846154,0.0,1.1029071052599446,0.12991790817877774,220.81451392173767,0.02675269767175665,0.2159090909090909,1.0,0.8461538461538461,134.0,0.2857142857142857,0.0,0.0,0.22857142857142856,0.08695652173913043,0.0,0.0,0.0,0.22857142857142856,0.0,False,0,,
FULL,66,True,True,,1164.0582524271845,0.0,1.2063471183497,0.1025,171.55589318275452,0.08777893860353943,0.1534090909090909,1.0,0.9333333333333333,132.0,0.3333333333333333,0.4,0.16666666666666666,0.41333333333333333,0.043478260869565216,0.0,0.0,0.0,0.41333333333333333,0.0,False,0,,
FULL,67,True,False,,1089.918181818182,0.0,1.210744248347697,0.08176470588235295,249.2491579055786,0.052515965718265195,0.13636363636363635,1.0,1.0,279.0,0.4444444444444444,0.375,0.14285714285714285,0.45446428571428577,0.14285714285714285,0.5,1.0,0.0,0.45446428571428577,1.0,False,0,,
FULL,68,True,False,,465.92996108949416,0.0,0.9809019259523017,0.13007246376811593,367.8084034919739,0.06707267725288663,0.1590909090909091,1.0,1.0,132.0,0.5714285714285714,0.25,0.5,0.4196428571428571,0.13043478260869565,0.0,0.0,0.0,0.4196428571428571,0.0,False,0,,
FULL,69,True,False,,2032.915254237288,0.0,1.3203788722658922,0.08046462063086104,193.36034989356995,0.054604576910239705,0.14204545454545456,1.0,1.0,270.0,0.7222222222222222,0.38461538461538464,0.2,0.5780769230769232,0.13793103448275862,0.25,1.0,0.0,0.5780769230769232,1.0,False,0,,
FULL,70,True,False,,1120.5046728971963,0.0,1.2044988275760817,0.07070135746606335,216.23038458824158,0.1104339908929628,0.10795454545454546,1.0,0.9444444444444444,108.0,0.3333333333333333,0.0,0.0,0.25,0.10344827586206896,0.0,0.0,0.0,0.25,0.0,False,0,,
FULL,71,True,True,,990.7438016528926,0.0,1.3181234805371747,0.0951058201058201,229.10929822921753,0.038579710790080185,0.09090909090909091,1.0,0.8571428571428571,185.0,0.3333333333333333,0.42857142857142855,0.4166666666666667,0.4011904761904762,0.1111111111111111,0.25,0.0,0.25,0.4011904761904762,0.0,False,0,,
FULL,72,True,False,,1903.7777777777778,0.0,1.2524023970022495,0.07749999999999999,213.5850932598114,0.02324017316914021,0.23295454545454544,1.0,0.9090909090909091,94.0,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,0.17647058823529413,0.0,0.0,0.0,0.21666666666666667,0.0,False,0,,
FULL,73,True,False,,730.7134146341464,0.0,1.4289798629379977,0.1261904761904762,237.4667284488678,0.047773918586386625,0.21022727272727273,1.0,1.0,90.0,0.5714285714285714,0.25,0.5,0.4196428571428571,0.19047619047619047,0.5,0.5,0.25,0.4196428571428571,0.5,False,0,,
FULL,74,True,False,,1444.7951807228915,0.0,1.1561972669955114,0.040283400809716596,222.9757945537567,0.07756298761540598,0.2159090909090909,1.0,1.0,194.0,0.45,0.1111111111111111,0.375,0.315,0.058823529411764705,0.0,0.0,0.0,0.315,0.0,False,0,,
FULL,75,True,False,,809.8175675675676,0.0,1.4289271228678326,0.07007246376811593,231.8106725215912,0.014042027893830654,0.2784090909090909,1.0,1.0,306.0,0.5882352941176471,0.1,0.3333333333333333,0.3763725490196078,0.10714285714285714,0.0,0.0,0.0,0.3763725490196078,0.0,False,0,,
FULL,76,True,True,21.395061728395063,5.211469534050179,0.0467397576457011,1.2820699190667662,0.11249999999999999,18.50379753112793,0.09247268589775713,0.2784090909090909,1.0,0.9090909090909091,165.0,0.6,0.0,0.0,0.37,0.13333333333333333,0.0,0.0,0.0,0.37,0.0,False,0,,
FULL,77,True,False,,1738.144927536232,0.0,1.2289333520998298,0.09624961095549331,214.66324305534363,0.0683297281611379,0.13636363636363635,1.0,0.9523809523809523,189.0,0.45,0.2222222222222222,0.18181818181818182,0.3843181818181818,0.15625,0.2,1.0,0.0,0.3843181818181818,1.0,False,0,,
FULL,78,True,True,2.0294117647058822,0.03759398496240601,0.4927536231884058,1.3063094684013432,0.10416666666666666,18.107722997665405,0.08264523822514451,0.20454545454545456,1.0,0.9375,105.0,0.5,0.375,0.4,0.45375000000000004,0.12,0.3333333333333333,1.0,0.0,0.45375000000000004,1.0,False,0,,
FULL,79,True,False,,735.2024539877301,0.0,1.1109465486048262,0.08083333333333333,241.96017408370972,0.021384730720957885,0.1875,1.0,1.0,161.0,0.4117647058823529,0.14285714285714285,0.0,0.3495798319327731,0.18518518518518517,0.2,0.0,0.2,0.3495798319327731,0.0,False,0,,
FULL,80,True,False,,570.4333333333333,0.0,1.1342938651738153,0.08272727272727273,270.5728831291199,0.06953051579533737,0.20454545454545456,1.0,0.9375,207.0,0.23529411764705882,0.25,0.2222222222222222,0.29616013071895425,0.07407407407407407,0.0,0.0,0.0,0.29616013071895425,0.0,False,0,,
FULL,81,True,False,,850.0709219858156,0.0,1.0750508400146281,0.13007246376811593,236.93834710121155,0.0182730290079597,0.19318181818181818,1.0,0.9285714285714286,155.0,0.2,0.0,0.0,0.19,0.08695652173913043,0.0,0.0,0.0,0.19,0.0,False,0,,
FULL,82,True,False,,0.09420289855072464,0.0,1.7920017638997836,0.10340579710144927,34.14700245857239,0.06098978804342144,0.26136363636363635,1.0,0.8,120.0,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.3761904761904762,0.08695652173913043,0.0,0.0,0.0,0.3761904761904762,0.0,False,0,,
