sample,generation_time_sec,num_nodes,num_edges,path_length,linearity,leniency,progression_complexity,topology_complexity,cycle_density,shortcut_density,gate_depth_ratio,path_depth_ratio,directionality_gap,constraint_valid,repair_applied,total_repairs,lock_key_repairs,progression_repairs,wave3_repairs,rule_applied,rule_skipped,puzzle_count,item_count,switch_count,stair_count,gate_variety,has_switch_feature,has_stair_feature,has_shortcut,has_cycle,has_wave3_repair
0,8.360271453857422,25,47,9,0.4,1.0,0.3659967139479906,0.3148893617021277,0.25,0.0,0.2222222222222222,0.375,0.0,1.0,0.0,0,0,0,0,24,2,1,4,0,2,0.4,0.0,1.0,0.0,1.0,0.0
1,6.207090854644775,19,39,7,0.42105263157894735,1.0,0.2978713964398175,0.35665587044534414,0.3333333333333333,0.0,0.14285714285714285,0.3888888888888889,0.0,1.0,0.0,0,0,0,0,21,5,3,3,1,2,0.6,1.0,1.0,0.0,1.0,0.0
2,6.293593883514404,23,46,9,0.43478260869565216,1.0,0.4899339481774264,0.34871936758893285,0.36363636363636365,0.0,0.1111111111111111,0.4090909090909091,0.0,1.0,0.0,0,0,0,0,23,3,3,5,0,2,0.6,0.0,1.0,0.0,1.0,0.0
3,6.427872180938721,24,48,9,0.4166666666666667,1.0,0.4821182367149759,0.3955416666666666,0.3333333333333333,0.0,0.1111111111111111,0.391304347826087,0.0,1.0,0.0,0,0,0,0,23,3,4,2,1,2,0.6,1.0,1.0,0.0,1.0,0.0
4,5.413504362106323,19,37,7,0.42105263157894735,1.0,0.33848107656528714,0.2770962541488858,0.3333333333333333,0.0,0.14285714285714285,0.3888888888888889,0.0,1.0,0.0,0,0,0,0,18,8,5,0,0,0,0.2,0.0,0.0,0.0,1.0,0.0
5,6.382956504821777,31,62,7,0.25806451612903225,0.8333333333333334,0.4727016897081414,0.39237634408602157,0.3333333333333333,0.0,0.14285714285714285,0.23333333333333334,0.0,1.0,0.0,0,0,0,0,21,3,6,3,1,2,0.6,1.0,1.0,0.0,1.0,0.0
