method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible_search,feasible_operational,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,key_gate_count,key_before_lock_rate,switch_gate_count,switch_before_gate_rate,battery_gate_count,battery_satisfaction_rate,path_length,num_nodes,num_edges,path_redundancy,articulation_count,articulation_ratio,branch_count,branch_utility_rate,secret_component_count,secret_content_discoverability_rate,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
MAP_ELITES,55,31,31,11.805243492126465,512,484,0.1868470422648328,0.0,1.0,1.1845072406764678,1.0,1.0,0.25806451612903225,1.0,0.46968761346180704,0.3419217986314761,2.0,1.0,0.0,1.0,0.0,1.0,7.0,31.0,55.0,0.5714285714285714,14.0,0.45161290322580644,1.0,1.0,0.0,1.0,1.0,47.0,0.0,0.0,0.0431567782455611,0.053298706032440316
MAP_ELITES,56,28,28,11.833014488220215,512,484,0.14383078222564555,0.0,1.0,1.6341523823270232,1.0,1.0,0.2571428571428571,0.4,0.4652463540254812,0.30797533206831124,2.0,1.0,1.0,1.0,0.0,1.0,8.0,35.0,62.0,0.375,16.0,0.45714285714285713,4.0,0.75,0.0,1.0,1.0,35.0,0.0,0.0,0.08901192185530907,0.0810922164488532
MAP_ELITES,57,30,30,11.767463684082031,512,484,0.22421285282380762,0.0,1.0,1.1228154908205203,1.0,1.0,0.3448275862068966,0.75,0.4779897646414888,0.35889180806422194,5.0,1.0,1.0,1.0,1.0,1.0,9.0,29.0,54.0,0.6666666666666666,9.0,0.3103448275862069,2.0,1.0,1.0,1.0,1.0,28.0,0.0,0.0,0.07781249542500714,0.05523772204806687
MAP_ELITES,58,25,25,12.875021934509277,512,484,0.24369390082046777,0.0,1.0,1.3548202083592469,1.0,1.0,0.3157894736842105,0.5,0.48020130770722874,0.30510032894736844,7.0,1.0,1.0,1.0,0.0,1.0,11.0,38.0,64.0,0.18181818181818182,26.0,0.6842105263157895,4.0,0.75,1.0,1.0,1.0,56.0,0.0,0.0,0.04567728563190864,0.08033234876851873
MAP_ELITES,59,25,25,12.603971242904663,512,484,0.19121414790386068,0.0,1.0,1.471260967095604,1.0,1.0,0.25925925925925924,0.6666666666666666,0.45606807878112227,0.25473107890499197,3.0,1.0,0.0,1.0,0.0,1.0,6.0,27.0,46.0,0.0,14.0,0.5185185185185185,1.0,1.0,0.0,1.0,1.0,62.0,0.0,0.0,0.11520706223556526,0.08035714285714285
MAP_ELITES,60,32,32,13.51332402229309,512,484,0.2428505509475538,0.0,1.0,1.2859113308053811,1.0,1.0,0.26666666666666666,0.8,0.4706178278207835,0.2913877551020408,4.0,1.0,1.0,1.0,0.0,1.0,7.0,30.0,49.0,0.42857142857142855,20.0,0.6666666666666666,4.0,1.0,1.0,1.0,1.0,41.0,0.0,0.0,0.10575956800802985,0.0754510661563696
MAP_ELITES,61,29,29,10.34943151473999,512,484,0.24718146986168235,0.0,1.0,0.9980877852253193,1.0,1.0,0.17391304347826086,0.5,0.47919986824769434,0.33613142292490117,2.0,1.0,0.0,1.0,0.0,1.0,3.0,23.0,40.0,0.0,8.0,0.34782608695652173,1.0,1.0,1.0,1.0,1.0,33.0,0.0,0.0,0.07176528948594303,0.09834368530020703
MAP_ELITES,62,32,32,13.558192253112793,512,484,0.2567188064137812,0.0,1.0,1.2632086454076261,1.0,1.0,0.4166666666666667,0.5714285714285714,0.48612910486599015,0.2691220400728598,3.0,1.0,2.0,1.0,2.0,1.0,14.0,36.0,61.0,0.42857142857142855,18.0,0.5,5.0,1.0,0.0,1.0,1.0,31.0,0.0,0.0,0.046716532033660454,0.07420091324200913
MAP_ELITES,63,30,30,12.114723443984985,512,484,0.3107699829224221,0.0,1.0,0.7657448893036111,1.0,1.0,0.39285714285714285,0.3333333333333333,0.4911974867724868,0.31039285714285714,4.0,1.0,0.0,1.0,0.0,1.0,10.0,28.0,48.0,0.7,7.0,0.25,1.0,1.0,0.0,1.0,1.0,41.0,0.0,0.0,0.06682622222175565,0.08095238095238094
MAP_ELITES,64,29,29,11.334744453430176,512,484,0.08699063616492798,0.0,1.0,2.171604466914477,1.0,1.0,0.17142857142857143,1.0,0.4504077972172476,0.25636065573770495,2.0,1.0,1.0,1.0,0.0,1.0,5.0,35.0,61.0,0.0,27.0,0.7714285714285715,2.0,1.0,1.0,1.0,1.0,50.0,0.0,0.0,0.08579315688239485,0.08427035768645356
MAP_ELITES,65,26,26,11.046080112457275,512,484,0.46021753881345817,0.0,1.0,0.6389058901068263,1.0,1.0,0.5,0.25,0.5071413382594417,0.3413103448275862,2.0,1.0,1.0,1.0,0.0,1.0,7.0,16.0,29.0,0.42857142857142855,6.0,0.375,2.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0,0.03471853433007044,0.056666666666666664
MAP_ELITES,66,30,30,10.738884925842285,512,484,0.2607914416447954,0.0,1.0,1.1672243414898733,1.0,1.0,0.4666666666666667,0.25,0.49304728766838307,0.29564705882352943,2.0,1.0,0.0,1.0,0.0,1.0,13.0,30.0,51.0,0.6923076923076923,6.0,0.2,4.0,0.5,0.0,1.0,1.0,48.0,0.0,0.0,0.05099334251897424,0.06745762711864406
MAP_ELITES,67,23,23,11.52404236793518,512,484,0.2782311103182082,0.0,1.0,0.9620162420134599,1.0,1.0,0.2,0.3333333333333333,0.47281253132832085,0.29514285714285715,2.0,1.0,2.0,1.0,1.0,1.0,3.0,20.0,35.0,0.0,12.0,0.6,1.0,1.0,0.0,1.0,1.0,36.0,0.0,0.0,0.09245208464068598,0.07083333333333333
MAP_ELITES,68,31,31,10.593529462814331,512,484,0.30631673923109687,0.0,1.0,0.8345130189132498,1.0,1.0,0.25,0.75,0.46379580498866213,0.2782040816326531,3.0,1.0,0.0,1.0,0.0,1.0,6.0,28.0,49.0,0.0,11.0,0.39285714285714285,1.0,1.0,0.0,1.0,1.0,34.0,0.0,0.0,0.12543948023638074,0.07470238095238095
MAP_ELITES,69,22,22,10.49940013885498,512,484,0.13544027195452138,0.0,1.0,1.4793344731688687,1.0,1.0,0.3235294117647059,0.6,0.4741726763432646,0.3093529411764706,7.0,1.0,1.0,1.0,0.0,1.0,10.0,34.0,56.0,0.7,12.0,0.35294117647058826,1.0,1.0,0.0,1.0,1.0,43.0,0.0,0.0,0.06573430593809305,0.08152210036556995
MAP_ELITES,70,30,30,10.956267595291138,512,484,0.3266102559349972,0.0,1.0,0.8038831519554679,1.0,1.0,0.2692307692307692,0.6666666666666666,0.4629938684503902,0.30942474916387963,4.0,1.0,1.0,1.0,0.0,1.0,6.0,26.0,46.0,0.0,14.0,0.5384615384615384,1.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.09422356456392404,0.07765151515151515
MAP_ELITES,71,30,30,10.740126848220825,512,484,0.11287488779833454,0.0,1.0,2.0054358762569957,1.0,1.0,0.17142857142857143,0.5,0.45624751459906004,0.24694915254237287,2.0,1.0,0.0,1.0,0.0,1.0,5.0,35.0,59.0,0.0,25.0,0.7142857142857143,2.0,1.0,0.0,1.0,1.0,29.0,0.0,0.0,0.11527964009742164,0.075
MAP_ELITES,72,30,30,10.845428705215454,512,484,0.17371087318281525,0.0,1.0,1.4301353267580144,1.0,1.0,0.2,0.25,0.4640879752431477,0.31461538461538463,2.0,1.0,1.0,1.0,0.0,1.0,5.0,30.0,52.0,0.2,17.0,0.5666666666666667,3.0,1.0,1.0,1.0,1.0,14.0,0.0,0.0,0.08872975452247424,0.05938256658595642
MAP_ELITES,73,29,29,10.286864757537842,512,484,0.4019914950818343,0.0,1.0,0.6381808903301035,1.0,1.0,0.35714285714285715,0.25,0.4897187301587302,0.3377428571428572,2.0,1.0,1.0,1.0,0.0,1.0,9.0,28.0,50.0,0.5555555555555556,10.0,0.35714285714285715,4.0,1.0,0.0,1.0,1.0,27.0,0.0,0.0,0.05897722157551059,0.06964285714285715
