config,n,success_rate,solvability_rate,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid_rate,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,diversity
FULL,2,1.0,0.0,,270.77492211838006,0.0,1.4946497274745112,0.18977175602175603,70.13342714309692,0.10589345921032112,0.14772727272727273,1.0,0.8504273504273505,102.5,0.6041666666666666,0.4107142857142857,0.14285714285714285,0.5424107142857143,0.3026315789473684,0.2,0.5,0.0,0.3431243628543346
TOPO_LIGHTWEIGHT,2,1.0,0.0,,270.77492211838006,0.0,1.4937812769625463,0.18977175602175603,67.79462671279907,0.10589345921032112,0.14772727272727273,1.0,0.8504273504273505,104.5,0.6041666666666666,0.4107142857142857,0.14285714285714285,0.5424107142857143,0.3026315789473684,0.2,0.5,0.0,0.3431243628543346
NO_EVOLUTION,2,1.0,0.0,,179.14711041714858,0.0,1.2888290845979893,0.1994253295723884,73.41206550598145,0.18132588178967746,0.1875,1.0,1.0,182.0,0.09090909090909091,0.5,0.25,0.34090909090909094,0.05263157894736842,0.5,0.5,0.0,0.3273411850898861
RANDOM_TOPOLOGY,0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0
NO_WFC,0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0
NO_LOGIC,0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0
PURE_WFC,0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0
