seed,arm,generation_time_sec,overall_completeness,constraint_valid,path_exists,linearity,leniency,progression_complexity,topology_complexity,cycle_density,shortcut_density,gate_depth_ratio,path_depth_ratio,directionality_gap,repair_rate,total_repairs,generation_constraint_rejections,candidate_repairs_applied,rule_applied,rule_skipped,descriptor_gap
42,CONTROL,41.20413088798523,1.0,1.0,1.0,0.23333333333333334,1.0,0.4667952269627898,0.3707457627118644,0.26666666666666666,0.0,0.16666666666666666,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,21.0,5.0,0.17147836955220216
42,TREATMENT,40.013055086135864,1.0,1.0,1.0,0.23333333333333334,1.0,0.4667952269627898,0.3707457627118644,0.26666666666666666,0.0,0.16666666666666666,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,21.0,5.0,0.17147836955220216
43,CONTROL,37.785370111465454,1.0,1.0,1.0,0.27586206896551724,1.0,0.35205714285714285,0.349871921182266,0.2857142857142857,0.0,0.2857142857142857,0.25,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.19579285912944744
43,TREATMENT,37.352904081344604,1.0,1.0,1.0,0.27586206896551724,1.0,0.35205714285714285,0.349871921182266,0.2857142857142857,0.0,0.2857142857142857,0.25,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.19579285912944744
44,CONTROL,34.99168634414673,1.0,1.0,1.0,0.3181818181818182,1.0,0.34108101573223526,0.35211086474501113,0.2727272727272727,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,20.0,6.0,0.18728527053777558
44,TREATMENT,34.80403971672058,1.0,1.0,1.0,0.3181818181818182,1.0,0.34108101573223526,0.35211086474501113,0.2727272727272727,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,20.0,6.0,0.18728527053777558
45,CONTROL,40.191224813461304,1.0,1.0,1.0,0.2857142857142857,1.0,0.4797978835978836,0.33702255639097745,0.2857142857142857,0.0,0.2857142857142857,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.16524942919445668
45,TREATMENT,39.74171233177185,1.0,1.0,1.0,0.2857142857142857,1.0,0.4797978835978836,0.33702255639097745,0.2857142857142857,0.0,0.2857142857142857,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.16524942919445668
