config,n,success_rate,solvability_rate,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid_rate,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,diversity
RANDOM_TOPOLOGY,2,1.0,0.5,1.0,95.65705128205128,0.5,1.174225432442976,0.2836147186147186,47.89404225349426,0.1474279943491587,0.24431818181818182,1.0,0.9375,118.5,0.5874125874125874,0.6428571428571428,0.0,0.6536213786213786,0.5874125874125874,0.6428571428571428,0.5,0.5,0.06533875192555161
NO_WFC,2,1.0,0.0,,245.57811360774176,0.0,1.4762182695712576,0.18977175602175603,59.5853236913681,0.10589345921032112,0.125,1.0,0.0,0.0,0.6041666666666666,0.4107142857142857,0.14285714285714285,0.5424107142857143,0.3026315789473684,0.2,0.5,0.0,0.3431243628543346
NO_LOGIC,2,1.0,0.0,,238.53264838769573,0.0,1.4929660660439668,0.18977175602175603,61.113744378089905,0.10589345921032112,0.1278409090909091,1.0,0.8504273504273505,99.5,0.6041666666666666,0.4107142857142857,0.14285714285714285,0.5424107142857143,0.3026315789473684,0.2,0.5,0.0,0.3431243628543346
PURE_WFC,2,1.0,0.0,,0.0,0.0,2.543003791071976,0.18977175602175603,2.5939693450927734,0.10589345921032112,0.4772727272727273,1.0,0.0,0.0,0.6875,0.38095238095238093,0.1,0.5708035714285714,0.32894736842105265,0.3666666666666667,1.0,0.0,0.3431243628543346
