config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,raw_topology_preservation_score,raw_directed_directionality_leak_rate,raw_topology_failed,raw_topology_error_count,raw_topology_error,error
RANDOM_TOPOLOGY,42,True,True,1.0,0.0,1.0,1.0921250734750483,0.2999242424242424,11.994985342025757,0.15190709156293367,0.3409090909090909,1.0,1.0,139.0,0.6363636363636364,0.2857142857142857,0.0,0.5149350649350649,0.6363636363636364,0.2857142857142857,1.0,0.0,0.5149350649350649,1.0,False,0,,
RANDOM_TOPOLOGY,43,True,False,,191.31410256410257,0.0,1.2563257914109034,0.26730519480519477,83.79309916496277,0.14294889713538378,0.14772727272727273,1.0,0.875,98.0,0.5384615384615384,1.0,0.0,0.7923076923076923,0.5384615384615384,1.0,0.0,1.0,0.7923076923076923,0.0,False,0,,
NO_WFC,42,True,False,,211.77304964539007,0.0,1.4870963242194697,0.10403846153846154,70.93126273155212,0.11049507097385035,0.14772727272727273,1.0,0.0,0.0,0.3333333333333333,0.25,0.2857142857142857,0.33392857142857146,0.10526315789473684,0.0,0.0,0.0,0.33392857142857146,0.0,False,0,,
NO_WFC,43,True,False,,279.38317757009344,0.0,1.4653402149230457,0.27550505050505053,48.23938465118408,0.10129184744679187,0.10227272727272728,1.0,0.0,0.0,0.875,0.5714285714285714,0.0,0.7508928571428571,0.5,0.4,1.0,0.0,0.7508928571428571,1.0,False,0,,
NO_LOGIC,42,True,False,,197.68211920529802,0.0,1.498096387111136,0.10403846153846154,72.35295486450195,0.11049507097385035,0.1534090909090909,1.0,0.9230769230769231,90.0,0.3333333333333333,0.25,0.2857142857142857,0.33392857142857146,0.10526315789473684,0.0,0.0,0.0,0.33392857142857146,0.0,False,0,,
NO_LOGIC,43,True,False,,279.38317757009344,0.0,1.4878357449767976,0.27550505050505053,49.874533891677856,0.10129184744679187,0.10227272727272728,1.0,0.7777777777777778,109.0,0.875,0.5714285714285714,0.0,0.7508928571428571,0.5,0.4,1.0,0.0,0.7508928571428571,1.0,False,0,,
PURE_WFC,42,True,False,,0.0,0.0,2.5611711334843683,0.10403846153846154,2.912292003631592,0.11049507097385035,0.4715909090909091,1.0,0.0,0.0,0.5,0.3333333333333333,0.2,0.455,0.15789473684210525,0.3333333333333333,1.0,0.0,0.455,1.0,False,0,,
PURE_WFC,43,True,False,,0.0,0.0,2.524836448659584,0.27550505050505053,2.275646686553955,0.10129184744679187,0.48295454545454547,1.0,0.0,0.0,0.875,0.42857142857142855,0.0,0.6866071428571429,0.5,0.4,1.0,0.0,0.6866071428571429,1.0,False,0,,
