method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible_search,feasible_operational,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,key_gate_count,key_before_lock_rate,switch_gate_count,switch_before_gate_rate,battery_gate_count,battery_satisfaction_rate,path_length,num_nodes,num_edges,path_redundancy,articulation_count,articulation_ratio,branch_count,branch_utility_rate,secret_component_count,secret_content_discoverability_rate,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
RANDOM,55,31,31,8.071298122406006,512,512,0.18685704483630275,0.0,1.0,1.7026154158681928,1.0,1.0,0.2857142857142857,0.5,0.47701391941391946,0.3474857142857143,2.0,1.0,0.0,1.0,0.0,1.0,3.0,14.0,25.0,0.0,3.0,0.21428571428571427,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.059868265655056804,0.10772727272727271
RANDOM,56,28,28,7.74976372718811,512,512,0.18071242139631843,0.0,1.0,1.2073315579456798,1.0,1.0,0.17391304347826086,0.5,0.47202284961415397,0.3231029550159985,2.0,1.0,0.0,1.0,0.0,1.0,3.0,23.0,42.0,0.0,7.0,0.30434782608695654,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07816597205533109,0.08739130434782608
RANDOM,57,30,30,8.070984363555908,512,512,0.1758428445973928,0.0,1.0,1.7138290092341009,1.0,1.0,0.3333333333333333,1.0,0.4821848484848485,0.2635555555555556,2.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,18.0,0.0,4.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.01933378914696635,0.09464912280701754
RANDOM,58,25,25,8.012294054031372,512,512,0.18552137120010823,0.0,1.0,1.6662597678738105,1.0,1.0,0.26666666666666666,0.5,0.4890495238095239,0.37575238095238095,2.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,25.0,0.3333333333333333,3.0,0.2,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.04727468867571065,0.07833333333333332
RANDOM,59,25,25,7.860538959503174,512,512,0.18631861031088187,0.0,0.0,1.7045885915990902,0.75,1.0,0.26666666666666666,1.0,0.47040952380952383,0.26415238095238097,2.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,25.0,0.0,8.0,0.5333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.03897303656752768,0.08007246376811594
RANDOM,60,32,32,7.868396997451782,512,512,0.20226098820948357,0.0,1.0,1.6611409977956928,1.0,1.0,0.3333333333333333,1.0,0.4840848484848485,0.3106666666666667,2.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,21.0,0.3333333333333333,2.0,0.16666666666666666,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.004243538377497183,0.0738095238095238
RANDOM,61,29,29,8.246845245361328,512,512,0.21565298130202942,0.0,1.0,0.9598020065992288,1.0,1.0,0.2222222222222222,1.0,0.4844631016042781,0.35614141414141415,2.0,1.0,0.0,1.0,0.0,1.0,3.0,18.0,33.0,0.0,8.0,0.4444444444444444,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06176108656625819,0.03203324808184144
RANDOM,62,32,32,8.066229104995728,512,512,0.1781407920625304,0.0,0.0,1.5507129794711179,0.75,1.0,0.3076923076923077,1.0,0.4823771561771562,0.316974358974359,2.0,1.0,0.0,1.0,0.0,1.0,3.0,13.0,22.0,0.0,3.0,0.23076923076923078,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0148240877872527,0.11835664335664335
RANDOM,63,30,30,8.214542627334595,512,512,0.20803232886473708,0.0,1.0,1.2201689341382018,1.0,1.0,0.2,1.0,0.47264561403508776,0.33094736842105266,2.0,1.0,0.0,1.0,0.0,1.0,3.0,20.0,38.0,0.0,6.0,0.3,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.06843712887806869,0.06272727272727274
RANDOM,64,29,29,7.845818042755127,512,512,0.20423354866127,0.0,1.0,1.6895458559135974,1.0,1.0,0.3333333333333333,1.0,0.4753991341991342,0.3375238095238095,2.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,21.0,0.0,3.0,0.25,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.018189218979893073,0.0763157894736842
RANDOM,65,26,26,7.844075679779053,512,512,0.18026716927236794,0.0,1.0,1.7528753986127763,1.0,1.0,0.3333333333333333,1.0,0.4770848484848485,0.3306666666666667,2.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,22.0,0.0,4.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.014658574785001726,0.09292929292929293
RANDOM,66,30,30,8.051738739013672,512,512,0.1731461558120993,0.0,1.0,1.759002724906005,1.0,1.0,0.36363636363636365,0.5,0.4911212121212122,0.35150505050505054,2.0,1.0,1.0,1.0,0.0,1.0,3.0,11.0,18.0,0.0,4.0,0.36363636363636365,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.023024268966120438,0.0613157894736842
RANDOM,67,23,23,7.170593976974487,512,512,0.19200838127936,0.0,1.0,1.4964957415341302,1.0,1.0,0.18181818181818182,0.5,0.4722329004329005,0.30896969696969695,2.0,1.0,1.0,1.0,1.0,1.0,3.0,22.0,42.0,0.0,10.0,0.45454545454545453,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.08324131600802973,0.0685185185185185
RANDOM,68,31,31,7.693317890167236,512,512,0.18506714095113744,0.0,1.0,1.640830736545931,1.0,1.0,0.3333333333333333,0.6666666666666666,0.49154800637958534,0.3037543859649123,3.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,19.0,0.0,4.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.07281009285971754,0.07583333333333332
RANDOM,69,22,22,6.734812021255493,512,512,0.19610956548187905,0.0,1.0,1.648445375382363,1.0,1.0,0.2857142857142857,0.5,0.4832782051282052,0.3498690476190476,2.0,1.0,0.0,1.0,0.0,1.0,3.0,14.0,24.0,0.0,5.0,0.35714285714285715,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.059366045988169414,0.11840579710144927
RANDOM,70,30,30,7.711717844009399,512,512,0.17098942296917324,0.0,0.0,1.6826371721416653,0.75,1.0,0.3076923076923077,1.0,0.4704694638694639,0.2902470862470863,2.0,1.0,0.0,1.0,0.0,1.0,3.0,13.0,22.0,0.0,4.0,0.3076923076923077,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.01567865603298003,0.12113442113442113
RANDOM,71,30,30,8.052192211151123,512,512,0.1869175155259656,0.0,1.0,1.5170766750065074,1.0,1.0,0.26666666666666666,1.0,0.47150183150183156,0.28008058608058606,2.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,26.0,0.0,6.0,0.4,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.035669849952565946,0.07047619047619047
RANDOM,72,30,30,7.79913067817688,512,512,0.2355771549215257,0.0,1.0,1.0511508432695638,1.0,1.0,0.17391304347826086,0.6666666666666666,0.4723674847565647,0.3881669271072709,3.0,1.0,1.0,1.0,0.0,1.0,3.0,23.0,43.0,0.3333333333333333,5.0,0.21739130434782608,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09751531286629779,0.07876696572348746
RANDOM,73,29,29,8.12941575050354,512,512,0.24641255718226754,0.0,1.0,1.0893747522616621,1.0,1.0,0.25,1.0,0.47646666666666676,0.28848148148148145,2.0,1.0,0.0,1.0,0.0,1.0,3.0,16.0,27.0,0.0,6.0,0.375,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.04239409702372181,0.0817391304347826
RANDOM,74,32,32,8.174862384796143,512,512,0.16052085730412755,0.0,1.0,2.1426433236314155,1.0,1.0,0.5,1.0,0.47640238095238097,0.2763333333333334,2.0,1.0,0.0,1.0,0.0,1.0,3.0,8.0,12.0,0.0,3.0,0.375,1.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,0.07805354953823698,0.27850267379679144
RANDOM,75,26,26,7.859617233276367,512,512,0.19464208031241856,0.0,1.0,1.6982031780873272,1.0,1.0,0.3076923076923077,1.0,0.48450880713489414,0.3622251950947603,2.0,1.0,0.0,1.0,0.0,1.0,3.0,13.0,23.0,0.3333333333333333,2.0,0.15384615384615385,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.032646386473631835,0.132190635451505
RANDOM,76,31,31,7.63692307472229,512,512,0.2004758436551518,0.0,0.0,1.2186735551146315,0.75,1.0,0.13333333333333333,0.6666666666666666,0.4767282430213466,0.3435119047619048,3.0,1.0,0.0,1.0,0.0,1.0,3.0,30.0,56.0,0.0,10.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11539871204015845,0.037796610169491526
RANDOM,77,33,33,8.062589406967163,512,512,0.254450429456623,0.0,1.0,1.0610321933359659,1.0,1.0,0.19047619047619047,1.0,0.4752570141570142,0.3186126126126126,2.0,1.0,0.0,1.0,0.0,1.0,3.0,21.0,37.0,0.0,9.0,0.42857142857142855,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07203274341619824,0.08908065618591934
RANDOM,78,23,23,7.168531179428101,512,512,0.20943554449563706,0.0,1.0,1.2306136518352622,1.0,1.0,0.2,0.5,0.47412551834130784,0.27860606060606063,2.0,1.0,1.0,1.0,0.0,1.0,3.0,20.0,33.0,0.3333333333333333,7.0,0.35,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09535815107103832,0.06881263616557734
RANDOM,79,24,24,7.607020616531372,512,512,0.1896490750428155,0.0,1.0,1.6982031780873272,1.0,1.0,0.3076923076923077,0.5,0.4852512820512821,0.3274091415830547,2.0,1.0,1.0,1.0,0.0,1.0,3.0,13.0,23.0,0.0,4.0,0.3076923076923077,1.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.04742637912962906,0.13496841322928277
RANDOM,80,25,25,7.7821431159973145,512,512,0.1857942290972268,0.0,1.0,1.623233534650756,1.0,1.0,0.2857142857142857,0.5,0.47965547785547785,0.3062857142857143,2.0,1.0,0.0,1.0,0.0,1.0,3.0,14.0,22.0,0.0,4.0,0.2857142857142857,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.059774111413843006,0.14384825700615173
RANDOM,81,27,27,7.787681818008423,512,512,0.19215316252407721,0.0,1.0,1.6528717298453448,1.0,1.0,0.3076923076923077,0.5,0.4984512820512821,0.30989743589743596,2.0,1.0,0.0,1.0,0.0,1.0,3.0,13.0,20.0,0.0,4.0,0.3076923076923077,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.047247086038524476,0.08534798534798535
