config_logic,seed,success_logic,solvable_logic,confusion_ratio_logic,confusion_index_logic,path_optimal_logic,tile_prior_kl_logic,graph_edit_distance_logic,generation_time_sec_logic,novelty_logic,reconstruction_error_logic,constraint_valid_logic,room_repair_rate_logic,tiles_repaired_logic,topology_representable_edge_rate_logic,topology_edge_connection_recall_logic,topology_phantom_connection_rate_logic,topology_preservation_score_logic,directed_representable_edge_rate_logic,directed_edge_realization_rate_logic,directed_directionality_leak_rate_logic,directed_edge_preservation_score_logic,raw_topology_preservation_score_logic,raw_directed_directionality_leak_rate_logic,raw_topology_failed_logic,raw_topology_error_count_logic,raw_topology_error_logic,error_logic,config_no_logic,success_no_logic,solvable_no_logic,confusion_ratio_no_logic,confusion_index_no_logic,path_optimal_no_logic,tile_prior_kl_no_logic,graph_edit_distance_no_logic,generation_time_sec_no_logic,novelty_no_logic,reconstruction_error_no_logic,constraint_valid_no_logic,room_repair_rate_no_logic,tiles_repaired_no_logic,topology_representable_edge_rate_no_logic,topology_edge_connection_recall_no_logic,topology_phantom_connection_rate_no_logic,topology_preservation_score_no_logic,directed_representable_edge_rate_no_logic,directed_edge_realization_rate_no_logic,directed_directionality_leak_rate_no_logic,directed_edge_preservation_score_no_logic,raw_topology_preservation_score_no_logic,raw_directed_directionality_leak_rate_no_logic,raw_topology_failed_no_logic,raw_topology_error_count_no_logic,raw_topology_error_no_logic,error_no_logic
FULL,42,1.0,1.0,1.6785714285714286,0.0561797752808988,0.5957446808510638,1.1637446603271209,0.1851794258373205,180.68037676811215,0.1135653581346373,0.3125,1.0,0.9,203.0,0.6666666666666666,0.0,0.0,0.4,0.1538461538461538,0.0,0.0,0.0,0.4,0.0,False,0,,,NO_LOGIC,1.0,1.0,1.6785714285714286,0.0561797752808988,0.5957446808510638,1.1620414714540277,0.1851794258373205,938.2686796188354,0.1135653581346373,0.3125,1.0,0.9,141.0,0.6666666666666666,0.0,0.0,0.4,0.1538461538461538,0.0,0.0,0.0,0.4,0.0,False,0,,
FULL,43,1.0,1.0,2.12280701754386,0.1862745098039215,0.4710743801652892,1.1205672724981208,0.1851794258373205,236.20527482032776,0.1135653581346373,0.0909090909090909,1.0,0.8,43.0,0.6666666666666666,0.1666666666666666,0.0,0.475,0.2307692307692307,0.0,0.0,0.0,0.475,0.0,False,0,,,NO_LOGIC,1.0,1.0,2.298245614035088,0.1696428571428571,0.4351145038167939,1.1516402576149487,0.1851794258373205,242.6780915260315,0.1135653581346373,0.1022727272727272,1.0,0.8,46.0,0.6666666666666666,0.1666666666666666,0.0,0.475,0.2307692307692307,0.0,0.0,0.0,0.475,0.0,False,0,,
FULL,44,1.0,0.0,,565.0471698113207,0.0,1.068702133040615,0.0424999999999999,345.9773449897766,0.0165849737488552,0.0909090909090909,1.0,0.9090909090909092,72.0,0.6666666666666666,0.25,0.0,0.5125,0.1578947368421052,0.0,0.0,0.0,0.5125,0.0,False,0,,,NO_LOGIC,1.0,0.0,,1175.4901960784314,0.0,1.079791123858636,0.0424999999999999,345.4629824161529,0.0165849737488552,0.3181818181818182,1.0,0.9090909090909092,169.0,0.6666666666666666,0.25,0.0,0.5125,0.1578947368421052,0.0,0.0,0.0,0.5125,0.0,False,0,,
FULL,45,1.0,0.0,,9999.166666666666,0.0,1.3035559359152784,0.0424999999999999,356.6975314617157,0.0239432718735076,0.1420454545454545,1.0,0.9090909090909092,64.0,0.5833333333333334,0.0,0.0,0.3625,0.2105263157894736,0.0,0.0,0.0,0.3625,0.0,False,0,,,NO_LOGIC,1.0,0.0,,922.0923076923076,0.0,1.3141828772584372,0.0424999999999999,459.973299741745,0.0239432718735076,0.1079545454545454,1.0,1.0,153.0,0.5833333333333334,0.0,0.0,0.3625,0.2105263157894736,0.0,0.0,0.0,0.3625,0.0,False,0,,
