config,n,success_rate,solvability_rate,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid_rate,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,diversity
FULL,2,0.0,0.0,,,0.0,,,0.6257696151733398,,,,,,,,,,,,,,0.0
COND_NO_TPE,2,0.0,0.0,,,0.0,,,0.4940314292907715,,,,,,,,,,,,,,0.0
COND_WEAK_GRAPH,2,0.0,0.0,,,0.0,,,0.5607403516769409,,,,,,,,,,,,,,0.0
