map_id,ablation,persona,success,path_length,states_explored,confusion_index,navigation_entropy,cognitive_load,aha_latency,deliberation_events,budget_exhaustion_events,peak_frustration,affordance_reactivations,affordance_guided_steps,inventory_change_events,focus_switches,focus_guided_steps,oracle_status,oracle_success,confusion_ratio,solver_status,time_ms
D1_v1,full,balanced,0,10001,10000,113.954,1.0439,0.6672,0,4945,4223,1.4008,2,4986,1,2,4992,timeout,0,nan,timeout,19466.736
D1_v1,no_revisit,balanced,0,10001,10000,80.3089,1.3203,0.638,0,4948,4073,1.4008,2,4986,2,6,4991,timeout,0,nan,timeout,21527.248
D1_v1,no_uncertainty,balanced,0,10001,10000,102.1031,1.0529,0.6639,0,4932,4209,1.4008,2,4986,1,2,4992,timeout,0,nan,timeout,19719.362
D1_v1,no_deliberation,balanced,0,10001,10000,93.3491,1.0573,0.6625,0,0,0,1.4143,2,4986,1,2,4992,timeout,0,nan,timeout,14970.113
D1_v1,no_affordance,balanced,0,10001,10000,112.6477,1.0439,0.6672,0,4946,4223,1.4008,0,4986,1,2,4992,timeout,0,nan,timeout,19482.048
D1_v1,no_focus,balanced,0,10001,10000,45.9531,1.2808,0.4722,0,555,8,1.3362,2,4989,2,4,4995,timeout,0,nan,timeout,16201.014
D1_v2,full,balanced,0,10001,10000,93.3491,1.2804,0.9759,0,4966,4321,1.4441,0,9920,3,195,4912,timeout,0,nan,timeout,18709.848
D1_v2,no_revisit,balanced,0,10001,10000,128.8831,1.317,0.8168,0,4979,4376,1.4628,0,9946,3,419,4799,timeout,0,nan,timeout,18369.836
D1_v2,no_uncertainty,balanced,0,10001,10000,44.6667,1.9995,1.0973,0,4932,3807,1.4618,0,9864,6,272,4871,timeout,0,nan,timeout,21022.335
D1_v2,no_deliberation,balanced,0,10001,10000,112.6477,1.2621,0.9749,0,0,0,1.4576,0,9940,3,199,4909,timeout,0,nan,timeout,14485.536
D1_v2,no_affordance,balanced,0,10001,10000,24.8424,1.997,0.9045,0,59,0,0.8611,0,5005,9,8,4991,timeout,0,nan,timeout,19475.519
D1_v2,no_focus,balanced,0,10001,10000,24.0025,1.7734,0.9107,0,184,66,1.3878,1,5021,7,9,4977,timeout,0,nan,timeout,19200.799
D2_v1,full,balanced,1,71,70,0.0,1.4583,0.9504,5,5,0,0.5706,0,0,0,0,62,solved,1,1.2909,solved,117.977
D2_v1,no_revisit,balanced,1,71,70,0.0,1.4583,0.9504,5,5,0,0.5706,0,0,0,0,62,solved,1,1.2909,solved,114.806
D2_v1,no_uncertainty,balanced,0,10001,10000,150.5303,2.0,0.638,0,10,0,0.8763,0,0,1,0,5023,solved,1,nan,timeout,14930.978
D2_v1,no_deliberation,balanced,1,71,70,0.0,1.4583,0.9504,5,0,0,0.9051,0,0,0,0,62,solved,1,1.2909,solved,124.753
D2_v1,no_affordance,balanced,1,71,70,0.0,1.4583,0.9504,5,5,0,0.5706,0,0,0,0,62,solved,1,1.2909,solved,116.065
D2_v1,no_focus,balanced,1,71,70,0.0,1.4583,0.9504,5,5,0,0.5706,0,0,0,0,62,solved,1,1.2909,solved,115.807
D2_v2,full,balanced,0,10001,10000,111.3708,2.0,0.79,0,18,0,0.8516,0,0,2,2,5020,solved,1,nan,timeout,15439.965
D2_v2,no_revisit,balanced,0,10001,10000,112.6477,2.0,0.7901,0,18,0,0.8637,0,0,2,2,5020,solved,1,nan,timeout,15348.579
D2_v2,no_uncertainty,balanced,0,10001,10000,106.5376,1.9989,0.7915,0,19,0,0.9044,0,0,3,4,5020,solved,1,nan,timeout,15167.963
D2_v2,no_deliberation,balanced,0,10001,10000,101.051,2.0,0.788,0,0,0,1.296,0,0,3,2,5020,solved,1,nan,timeout,15491.175
D2_v2,no_affordance,balanced,0,10001,10000,111.3708,2.0,0.79,0,18,0,0.8516,0,0,2,2,5020,solved,1,nan,timeout,15412.1
D2_v2,no_focus,balanced,0,10001,10000,110.1222,1.9991,0.7965,0,13,0,0.8645,0,0,3,4,5020,solved,1,nan,timeout,14976.854
D3_v1,full,balanced,1,144,143,0.036,1.8203,1.0976,5,12,0,0.5552,0,8,4,8,102,timeout,0,nan,solved,266.086
D3_v1,no_revisit,balanced,0,10001,10000,80.3089,1.3489,0.4771,0,15,0,0.9353,0,0,2,4,5016,timeout,0,nan,timeout,17632.429
D3_v1,no_uncertainty,balanced,1,158,157,0.0327,1.8542,1.0973,5,8,0,0.5115,0,12,2,5,108,timeout,0,nan,solved,279.445
D3_v1,no_deliberation,balanced,1,218,217,0.1354,1.9018,1.1008,5,0,0,1.2478,0,54,6,13,128,timeout,0,nan,solved,376.686
D3_v1,no_affordance,balanced,1,144,143,0.036,1.8203,1.0976,5,12,0,0.5552,0,8,4,8,102,timeout,0,nan,solved,266.284
D3_v1,no_focus,balanced,1,150,149,0.0274,1.838,1.0971,5,8,0,0.5115,0,10,3,5,69,timeout,0,nan,solved,267.677
