config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,error
FULL,42,True,False,,0.0,0.0,3.642161370162497,0.21034090909090908,19.595989227294922,0.02818669512426208,0.5625,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,43,True,False,,0.0,0.0,3.6356558036841493,0.20850267379679144,16.169292211532593,0.1560308445333468,0.5909090909090909,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,44,True,False,,0.0,0.0,3.6669615684315455,0.21034090909090908,16.45235252380371,0.028938972824517812,0.10795454545454546,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
FULL,45,True,False,,0.0,0.0,3.2818555486872962,0.20850267379679144,15.650839805603027,0.16960635345293312,0.6534090909090909,1.0,0.125,133.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,46,True,False,,0.0,0.0,3.998596312400177,0.20850267379679144,16.061169862747192,0.02824658322013872,0.48295454545454547,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,0.0,0.0,
FULL,47,True,False,,0.0,0.0,4.045684342760698,0.20850267379679144,15.727741241455078,0.05020928245345841,0.5909090909090909,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0625,1.0,0.0,1.0,
FULL,48,True,False,,0.0,0.0,3.790983833410565,0.20850267379679144,15.719132661819458,0.029331784064027682,0.6193181818181818,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,49,True,False,,0.0,0.0,4.056609856427925,0.20850267379679144,15.932515621185303,0.04640930799637594,0.3806818181818182,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,50,True,False,,0.0,0.0,4.017236953656895,0.20850267379679144,15.695780992507935,0.06298327837440672,0.5965909090909091,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,51,True,False,,0.0,0.0,3.6548040036825586,0.21034090909090908,15.807036876678467,0.034735329556496226,0.5852272727272727,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,52,True,False,,0.0,0.0,3.784277636746977,0.20850267379679144,16.20484232902527,0.024868282209987505,0.6477272727272727,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,53,True,False,,0.0,0.0,3.650078525598926,0.2124242424242424,15.913624048233032,0.028938972824517812,0.13636363636363635,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
