method,n,fitness,feasible_rate,overall_completeness,constraint_valid_rate,linearity,leniency,progression_complexity,topology_complexity,path_length,num_nodes,repair_rate,mean_generation_constraint_rejections,mean_candidate_repairs_applied,novelty_vs_reference,graph_edit_distance,generation_time_sec,evaluations_used,fidelity_js_divergence,expressive_overlap_reference,coverage_linearity_leniency,coverage_progression_topology
RANDOM,4,0.5530870052260928,0.0,1.0,1.0,0.34605908584169454,0.9,0.4341530076005077,0.3223864425576382,7.25,23.75,0.0,0.0,0.0,0.054361461941257475,0.08069904333948955,2.2214778661727905,128.0,0.36369099388930193,0.05,0.01,0.01
ES,4,0.6036599256861193,0.0,1.0,1.0,0.3356302617921808,0.8125,0.4398600442537541,0.33984367594311904,7.75,26.0,0.0,0.0,0.0,0.05588684758386342,0.05406327859072885,2.7039137482643127,120.0,0.35946749928343313,0.05,0.01,0.0075
GA,4,0.5940947553317455,0.0,1.0,1.0,0.3241987179487179,0.9,0.43978266093561363,0.33993265981210186,7.5,26.5,0.0,0.0,0.0,0.05366986172718922,0.05085035012801406,2.4526155591011047,120.0,0.36394641448525894,0.10526315789473684,0.01,0.01
MAP_ELITES,4,0.5495312145426238,0.0,1.0,1.0,0.31333529232510554,0.8375,0.4766339544688072,0.36791957816975196,6.75,25.0,0.0,0.0,0.0,0.05535060370314512,0.04651797410818734,3.004493474960327,112.0,0.3293462366091964,0.05,0.01,0.0075
FULL,4,0.5872445206955388,0.0,1.0,1.0,0.28073891625615766,0.8166666666666667,0.47350439563679014,0.3566501517077773,6.25,26.0,0.0,0.0,0.0,0.05108576142299864,0.053222770750497354,2.707487940788269,120.0,0.3283798869544258,0.05,0.01,0.005
