config,seed,success,solvable,confusion_ratio,confusion_index,path_optimal,tile_prior_kl,graph_edit_distance,generation_time_sec,novelty,reconstruction_error,constraint_valid,room_repair_rate,tiles_repaired,topology_representable_edge_rate,topology_edge_connection_recall,topology_phantom_connection_rate,topology_preservation_score,directed_representable_edge_rate,directed_edge_realization_rate,directed_directionality_leak_rate,directed_edge_preservation_score,error
FULL,42,True,False,,0.0,0.0,5.486057591294824,0.21034090909090908,19.536868810653687,0.02818669512426208,0.08522727272727272,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,43,True,False,,0.0,0.0,5.228465109152708,0.20850267379679144,16.554065465927124,0.1560308445333468,0.011363636363636364,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,44,True,False,,0.0,0.0,5.397387533267726,0.21034090909090908,16.320682048797607,0.028938972824517812,0.03977272727272727,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
FULL,45,True,False,,0.0,0.0,5.170428730590459,0.20850267379679144,15.684027194976807,0.16960635345293312,0.10795454545454546,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,46,True,False,,0.0,0.0,5.500491800043381,0.20850267379679144,15.923614978790283,0.02824658322013872,0.03409090909090909,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0,0.0,0.0,0.0,
FULL,47,True,False,,0.0,0.0,5.712999994947333,0.20850267379679144,15.75088357925415,0.05020928245345841,0.14204545454545456,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.7,0.0625,1.0,0.0,1.0,
FULL,48,True,False,,0.0,0.0,6.010382416703801,0.20850267379679144,15.694222927093506,0.029331784064027682,0.03977272727272727,1.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.6,0.0,0.0,0.0,0.0,
FULL,49,True,False,,0.0,0.0,5.87411314288688,0.20850267379679144,16.312337398529053,0.04640930799637594,0.05113636363636364,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,50,True,False,,0.0,0.0,5.790555103591509,0.20850267379679144,15.926060438156128,0.06298327837440672,0.13636363636363635,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,51,True,False,,0.0,0.0,5.420272792026134,0.21034090909090908,16.034857511520386,0.034735329556496226,0.0,1.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.75,0.0625,1.0,0.0,1.0,
FULL,52,True,False,,0.0,0.0,5.522375022541373,0.20850267379679144,15.955684423446655,0.024868282209987505,0.022727272727272728,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0,0.0,0.0,0.0,
FULL,53,True,False,,0.0,0.0,5.417543636862231,0.2124242424242424,16.206602096557617,0.028938972824517812,0.0,1.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.65,0.0625,1.0,0.0,1.0,
